1901  7    0.2627
1901  8    0.0972
1901  9   -0.1668
1901 10   -0.4662
1901 11    0.0136
1901 12   -0.6352
1902  1    0.5055
1902  2    0.7382
1902  3   -0.0963
1902  4   -0.6212
1902  5   -0.3930
1902  6   -0.3515
1902  7   -0.3479
1902  8   -0.1463
1902  9   -0.2070
1902 10   -0.4177
1902 11   -0.7741
1902 12   -0.8518
1903  1   -0.0626
1903  2    0.5812
1903  3   -0.3826
1903  4   -0.4701
1903  5   -0.5890
1903  6   -0.5833
1903  7   -0.4103
1903  8   -0.3743
1903  9   -0.3953
1903 10   -0.5940
1903 11   -0.4686
1903 12   -0.4309
1904  1   -0.9028
1904  2   -0.3457
1904  3   -0.6015
1904  4   -0.7064
1904  5   -0.3298
1904  6   -0.3981
1904  7   -0.6037
1904  8   -0.2648
1904  9   -0.4886
1904 10   -0.3648
1904 11    0.6599
1904 12    0.1075
1905  1   -0.1374
1905  2   -1.4695
1905  3   -0.8298
1905  4   -1.0181
1905  5   -0.3415
1905  6   -0.2768
1905  7   -0.0658
1905  8    0.0024
1905  9    0.0120
1905 10   -0.2389
1905 11    0.4035
1905 12    0.0213
1906  1   -0.2648
1906  2   -0.9319
1906  3   -0.0528
1906  4    0.4239
1906  5    0.0813
1906  6    0.1665
1906  7   -0.1975
1906  8   -0.0157
1906  9   -0.1282
1906 10   -0.0977
1906 11   -0.4605
1906 12    0.4996
1907  1   -0.4904
1907  2   -0.8961
1907  3   -0.3611
1907  4   -0.8252
1907  5   -1.0100
1907  6   -0.7607
1907  7   -0.4630
1907  8   -0.3297
1907  9   -0.2657
1907 10   -0.2845
1907 11   -1.0079
1907 12   -0.4515
1908  1   -0.1072
1908  2   -0.1721
1908  3   -1.1000
1908  4   -0.6002
1908  5   -0.1802
1908  6   -0.2240
1908  7   -0.1598
1908  8   -0.2669
1908  9   -0.0074
1908 10   -0.4965
1908 11   -0.5497
1908 12   -0.2391
1909  1   -0.9795
1909  2   -0.4139
1909  3   -0.6704
1909  4   -0.9948
1909  5   -0.4478
1909  6   -0.2473
1909  7   -0.1919
1909  8    0.0620
1909  9    0.0078
1909 10   -0.0806
1909 11    0.6662
1909 12   -0.0219
1910  1    0.0690
1910  2   -0.2609
1910  3   -0.2203
1910  4   -0.1324
1910  5   -0.1595
1910  6   -0.1874
1910  7    0.1143
1910  8   -0.1407
1910  9   -0.2481
1910 10   -0.2349
1910 11   -0.4372
1910 12   -0.7844
1911  1   -0.7816
1911  2   -0.6792
1911  3   -0.7821
1911  4   -0.4418
